black 0.268 0.173 0.125 0.143 0.182 0.111 0.333
orange 0.122 0.077 0.125 0.071 0.273 0.333 0.111
mixed 0.171 0.077 0.125 0.214 0.182 0.222 0.111
yellow 0.122 0.269 0.250 0.214 0.091 0.111 0.111
gray 0.268 0.365 0.250 0.214 0.091 0.111 0.111
Other 0.049 0.038 0.125 0.143 0.182 0.111 0.222
Medium 0.600 0.431 0.143 0.308 0.100 0.125 0.125
Warm-blooded 0.921 0.898 0.600 0.182 0.250 0.667 0.333
Cold-blooded 0.053 0.041 0.200 0.727 0.250 0.167 0.333
Other 0.026 0.061 0.200 0.091 0.500 0.167 0.333
year 0.154 0.040 0.167 0.500 0.556 0.286 0.429
month 0.154 0.340 0.167 0.167 0.222 0.286 0.286
month1 0.359 0.580 0.333 0.083 0.111 0.143 0.143
year1 0.333 0.040 0.333 0.250 0.111 0.286 0.143
P(Cat) 0.343
P(Dog) 0.451
P(Small) 0.020
P(Reptile) 0.078
P(Fish) 0.049
P(Bird) 0.029
P(Other) 0.029
